car_model,price,year_model,kms
Ford Fiesta 1.6 Titanium At,$55.900.000,2019,51.800
Ford Fiesta 1.6 Sportback Se,$42.990.000,2017,55.000
Ford Fiesta 1.6 Hatchback Titanium,$51.000.000,2018,61.000
Ford Fiesta 1.6 Hatchback St,$67.500.000,2017,41.000
Ford Fiesta 1.6 Hatchback Mecánica,$31.900.000,2013,101.000
Ford Fiesta 1.6 Sportback Se Automática,$37.990.000,2015,74.950
Ford Fiesta 1.6 Titanium At,$35.800.000,2014,96.000
Ford Fiesta 1.6 Sportback Se Mecánica,$33.700.000,2014,120.000
Ford Fiesta 1.6 Titanium At,$38.500.000,2015,83.000
Ford Fiesta 1.6 Hatchback Titanium,$38.800.000,2015,108.000
Ford Fiesta 1.6 Sportback Titanium,$40.900.000,2016,87.000
Ford Fiesta 1.6 Sportback Se Automática,$35.900.000,2016,111.000
Ford Fiesta 1.6 Sportback Se Mecánica,$37.800.000,2016,68.000
Ford Fiesta 1.6 Hatchback Titanium,$53.000.000,2017,50.890
Ford Fiesta Se Mecanico ,$47.800.000,2018,68.000
Ford Fiesta 1.6 Sportback Se Mecánica,$40.900.000,2015,51.000
Ford Fiesta 2015 Automatico Con Escotilla,$34.900.000,2015,79.000
Ford Fiesta 1.6 Titanium At,$34.500.000,2015,106.000
Ford Fiesta 1.6 Hatchback Titanium,$9.000.000,2017,60.000
Ford Fiesta Titanium,$45.500.000,2017,90.000
Ford Fiesta 1.6 Titanium At,$48.000.000,2017,75.183
Ford Fiesta Titanium,$51.000.000,2018,57.000
Ford Fiesta 1.6 Hatchback Mecánica,$31.500.000,2012,119.108
Ford Fiesta SPORTBACK,$27.990.000,2012,98.000
Ford Fiesta 1.6 Ls,$33.800.000,2015,140.000
Ford Fiesta Se Mt,$47.900.000,2018,52.000
Ford Fiesta 1.6 Hatchback Titanium,$41.500.000,2016,81.400
Ford Fiesta 1.6 Titanium Mt,$49.990.000,2018,27.000
Ford Fiesta 1.6 Sportback Se Automática,$34.800.000,2014,75.000
Ford Fiesta Se,$44.000.000,2017,60.000
Ford Fiesta 1.6 Titanium At,$42.900.000,2016,100.000
Ford Fiesta 1.6 Sportback Automática,$31.990.000,2013,100.000
Ford Fiesta Se Sedan,$44.990.000,2018,74.000
Ford Fiesta 1.6 Titanium At,$43.000.000,2016,93.700
Ford Fiesta S.e 1.6,$44.900.000,2018,88.900
Ford Fiesta 1.6 Sportback Titanium,$44.500.000,2017,73.000
Ford Fiesta 1.6 Sportback Se Automática,$39.500.000,2015,85.000
Ford Fiesta 1.6 Hatchback Titanium,$44.000.000,2017,60.200
Ford Fiesta 1.6 Titanium Mt,$49.900.000,2018,51.500
Ford Fiesta 1.6 Sportback Mecánica,$31.900.000,2012,75.000
Ford Fiesta 1.6 Hatchback Titanium,$45.900.000,2016,66.000
Ford Fiesta 1.6 Titanium Mt,$38.500.000,2017,58.000
Ford Fiesta 1.6 Hatchback Titanium,$38.000.000,2015,98.000
Ford Fiesta 1.6 Sportback Se Mecánica,$37.000.000,2016,88.900
Ford Fiesta 1.6 Hatchback Titanium,$35.000.000,2014,112.500
Ford Fiesta 1.6 Sportback Mecánica,$24.800.000,2012,178.000
Ford Fiesta 1.6 Sportback Mecánica,$30.000.000,2013,109.000
Ford Fiesta 1.6 Sportback Mecánica,$31.900.000,2013,104.000
Ford Fiesta 1.6 Titanium At,$41.990.000,2016,74.000
Ford Fiesta Se 2013 Mecanico 1.6,$35.500.000,2013,90.500
Ford Fiesta 1.6 Hatchback St,$66.000.000,2018,41.000
Ford Fiesta 1.6 Sportback Titanium,$40.800.000,2014,76.000
Ford Fiesta 1.6 Hatchback Titanium,$40.000.000,2014,52.320
Ford Fiesta 1.6 Sportback Mecánica,$29.900.000,2012,102.100
Ford Fiesta 1.6 Sportback Mecánica,$31.499.000,2013,119.000
Ford Fiesta 1.6 Sportback Mecánica,$29.000.000,2011,123.000
Ford Fiesta 1.6 Titanium At,$42.000.000,2015,83.000
Ford Fiesta 1.6 Titanium At,$51.500.000,2018,64.000
Ford Fiesta 1.6 Hatchback Se,$36.800.000,2014,47.000
Ford Fiesta 1.6 Titanium At,$42.000.000,2015,107.200
Ford Fiesta 1.6 Sportback Titanium,$40.000.000,2015,72.000
Ford Fiesta 1.6 Titanium Mt,$39.000.000,2015,131.000
Ford Fiesta 1.6 Sportback Se Mecánica,$40.000.000,2015,167.000
Ford Fiesta 1.6 Titanium At,$44.000.000,2015,73.500
Ford Fiesta 1.6 Hatchback Se,$41.000.000,2015,100.000
Ford Fiesta 1.6 Hatchback Titanium,$40.000.000,2015,132.000
Ford Fiesta 1.6 Hatchback Titanium,$45.000.000,2015,61.123
Ford Fiesta 1.6 Sportback Se Automática,$38.900.000,2015,44.100
Ford Fiesta 1.6 Hatchback Titanium,$42.000.000,2016,78.000
Ford Fiesta 1.6 Sportback Automática,$32.000.000,2013,76.000
Ford Fiesta 1.6 Hatchback Se,$39.000.000,2015,89.000
Ford Fiesta 1.6 Hatchback Mecánica,$32.500.000,2013,118.500
Ford Fiesta 1.6 Sportback Titanium,$36.000.000,2015,111.000
Ford Fiesta 1.6 Hatchback Se,$43.000.000,2017,50.600
Ford Fiesta 1.6 Titanium At,$42.000.000,2015,88.900
Ford Fiesta 1.6 Hatchback Se,$40.000.000,2016,77.000
Ford Fiesta 1.6 Sportback Mecánica,$30.000.000,2011,91.500
